,SPX,VIX
1995-01-04,460.7099914550781,0.0
1995-01-05,463.1970134386155,0.0
1995-01-06,465.1798556106467,0.0
1995-01-09,463.70807666673915,0.0
1995-01-10,460.9094816783314,0.0
1995-01-11,459.06389796747294,0.0
1995-01-12,457.6295387189222,0.0
1995-01-13,458.9120053004295,0.0
1995-01-16,463.669283200002,0.0
1995-01-17,470.09225152969117,0.0
1995-01-18,468.69659416612967,0.0
1995-01-19,468.4270295796935,0.0
1995-01-20,470.687426821998,0.0
1995-01-23,471.583540108456,0.0
1995-01-24,473.0700137767001,0.0
1995-01-25,476.92165853124845,0.0
1995-01-26,480.0380778735102,0.0
1995-01-27,479.2884972839854,0.0
1995-01-30,478.31059867669666,0.0
1995-01-31,477.7930015263143,0.0
1995-02-01,477.2430723956191,0.0
1995-02-02,484.03328985087137,0.0
1995-02-03,489.2395365485536,0.0
1995-02-06,490.55479679464264,0.0
1995-02-07,488.0081176282463,0.0
1995-02-08,490.5073452181565,0.0
1995-02-09,487.99636148456176,0.0
1995-02-10,482.9939022859113,0.0
1995-02-13,486.54213437373664,0.0
1995-02-14,487.61636035773483,0.0
1995-02-15,488.03033751007445,0.0
1995-02-16,486.89867341052627,0.0
1995-02-17,488.4589084384672,0.0
1995-02-21,489.16214907581724,0.0
1995-02-22,490.02721332509776,0.0
1995-02-23,497.08831938509957,0.0
1995-02-24,499.67561280386866,0.0
1995-02-27,501.93867577212285,0.0
1995-02-28,496.68411904141067,0.0
1995-03-01,496.58573454442603,0.0
1995-03-02,499.3480054308109,0.0
1995-03-03,501.5011138250558,0.0
1995-03-06,499.08840412147475,0.0
1995-03-07,501.2936221384624,0.0
1995-03-08,500.81707819463816,0.0
1995-03-09,509.5374844914058,0.0
1995-03-10,512.4456191259027,0.0
1995-03-13,519.5407394102338,0.0
1995-03-14,523.2027858831798,0.0
1995-03-15,526.1520188922871,0.0
1995-03-16,524.5485221681392,0.0
1995-03-17,523.6882877695331,0.0
1995-03-20,524.8291338142387,0.0
1995-03-21,525.5070298284521,0.0
1995-03-22,527.4749006732228,0.0
1995-03-23,531.1551747111146,0.0
1995-03-24,532.5985416356979,0.0
1995-03-27,532.6606642063044,0.0
1995-03-28,538.3225485225637,0.0
1995-03-29,532.1170865558964,0.0
1995-03-30,533.8510599767395,0.0
1995-03-31,536.9836492582901,0.0
1995-04-03,534.7742846010635,0.0
1995-04-04,536.2544855890022,0.0
1995-04-05,531.3118268958949,0.0
1995-04-06,533.5602029846207,0.0
1995-04-07,531.9439525850978,0.0
1995-04-10,536.6023708849845,0.0
1995-04-11,533.5284816620515,0.0
1995-04-12,537.7898846174737,0.0
1995-04-13,539.1826759221022,0.0
1995-04-17,544.9173137483745,0.0
1995-04-18,548.3946398047021,0.0
1995-04-19,552.948157585109,0.0
1995-04-20,555.8362625250561,0.0
1995-04-21,555.2864782905236,0.0
1995-04-24,554.9812675629631,0.0
1995-04-25,555.8235941959249,0.0
1995-04-26,563.4872273071186,0.0
1995-04-27,579.3354612212662,0.0
1995-04-28,584.9736474442208,0.0
1995-05-01,586.9509022554367,0.0
1995-05-02,580.3340874336113,0.0
1995-05-03,581.1632608435796,0.0
1995-05-04,579.7404259622406,0.0
1995-05-05,575.3217188748707,0.0
1995-05-08,575.8433644936458,0.0
1995-05-09,572.3271370741762,0.0
1995-05-10,572.3132898636828,0.0
1995-05-11,566.9385930300932,0.0
1995-05-12,569.6454443918217,0.0
1995-05-15,571.0543296047996,0.0
1995-05-16,573.8274976081526,0.0
1995-05-17,577.7851051218364,0.0
1995-05-18,571.7201594041699,0.0
1995-05-19,571.5368876177637,0.0
1995-05-22,575.0679839644906,0.0
1995-05-23,572.8091832847582,0.0
1995-05-24,577.9934533479467,0.0
1995-05-25,577.4202617713837,0.0
1995-05-26,586.5984390269475,0.0
1995-05-30,585.6341090878778,0.0
1995-05-31,586.7786934457262,0.0
1995-06-01,590.3610434989673,0.0
1995-06-02,595.2267385785043,0.0
1995-06-05,608.8752883805595,0.0
1995-06-06,619.0072816539708,0.0
1995-06-07,621.5794892001312,0.0
1995-06-08,621.1940174207932,0.0
1995-06-09,628.133793491215,0.0
1995-06-12,632.0656130867532,0.0
1995-06-13,628.8096151746292,0.0
1995-06-14,627.181596211604,0.0
1995-06-15,624.7287749644667,0.0
1995-06-16,621.6546254632433,0.0
1995-06-19,624.1634117998066,0.0
1995-06-20,620.7942539140419,0.0
1995-06-21,614.2757804190783,0.0
1995-06-22,611.6951569706445,0.0
1995-06-23,610.1272986766195,0.0
1995-06-26,612.4082882022286,0.0
1995-06-27,617.6832576021022,0.0
1995-06-28,622.6820709374181,0.0
1995-06-29,625.9787493758722,0.0
1995-06-30,621.136779038959,0.0
1995-07-03,619.1878599196042,0.0
1995-07-05,619.7112087662877,0.0
1995-07-06,622.13382918641,0.0
1995-07-07,620.2390499959392,0.0
1995-07-10,622.3108159797631,0.0
1995-07-11,624.964312755032,0.0
1995-07-12,625.5647980917548,0.0
1995-07-13,629.6629115958834,0.0
1995-07-14,628.4408029850008,0.0
1995-07-17,626.168217982124,0.0
1995-07-18,626.1238756892085,0.0
1995-07-19,624.5159678871232,0.0
1995-07-20,629.7832928391937,0.0
1995-07-21,630.9545214594385,0.0
1995-07-24,634.6639408887045,0.0
1995-07-25,640.6716680884106,0.0
1995-07-26,628.1019091551126,0.0
1995-07-27,619.6050993311059,0.0
1995-07-28,626.4052449133198,0.0
1995-07-31,622.8345210928344,0.0
1995-08-01,618.8287675266503,0.0
1995-08-02,603.9014123862875,0.0
1995-08-03,591.393565216861,0.0
1995-08-04,587.8871682811354,0.0
1995-08-07,579.6952701375401,0.0
1995-08-08,584.8786596114528,0.0
1995-08-09,584.6825206960423,0.0
1995-08-10,582.6930325131052,0.0
1995-08-11,577.6895810549612,0.0
1995-08-14,576.8905448557093,0.0
1995-08-15,574.0979073214622,0.0
1995-08-16,570.7684559125792,0.0
1995-08-17,568.0209310791331,0.0
1995-08-18,577.4803864436703,0.0
1995-08-21,585.4365419598212,0.0
1995-08-22,598.0588935743042,0.0
1995-08-23,602.2839884098972,0.0
1995-08-24,603.3756863897943,0.0
1995-08-25,579.9512928283452,0.0
1995-08-28,569.4646037295896,0.0
1995-08-29,568.8483395865663,0.0
1995-08-30,554.9170503151649,0.0
1995-08-31,561.7577250679194,0.0
1995-09-01,568.2722166181788,0.0
1995-09-05,563.4157101863794,0.0
1995-09-06,559.5415934643202,0.0
1995-09-07,570.0861006774516,0.0
1995-09-08,565.5045499368179,0.0
1995-09-11,569.9585615347437,0.0
1995-09-12,572.2253087976924,0.0
1995-09-13,570.6610723328498,0.0
1995-09-14,568.6418150620183,0.0
1995-09-15,567.9290657598531,0.0
1995-09-18,582.8530126858966,0.0
1995-09-19,586.4160193870464,0.0
1995-09-20,579.171918140072,0.0
1995-09-21,568.7718531117047,0.0
1995-09-22,568.4880103438084,0.0
1995-09-25,562.3916064879286,0.0
1995-09-26,565.4340093750437,0.0
1995-09-27,563.2245138499446,0.0
1995-09-28,570.4408025786453,0.0
1995-09-29,569.9313609509232,0.0
1995-10-02,580.0193171079202,0.0
1995-10-03,580.2997779408464,0.0
1995-10-04,598.2636922969951,0.0
1995-10-05,604.0419288435969,0.0
1995-10-06,591.6847649037754,0.0
1995-10-09,590.1690476140276,0.0
1995-10-10,604.0568236079772,0.0
1995-10-11,587.454605703303,0.0
1995-10-12,589.605863049167,0.0
1995-10-13,592.7112001903484,0.0
1995-10-16,596.9647534555738,0.0
1995-10-17,605.8607000158618,0.0
1995-10-18,596.4684551057281,0.0
1995-10-19,590.387944454022,0.0
1995-10-20,591.262823984284,0.0
1995-10-23,589.4482089931371,0.0
1995-10-24,589.5127595754092,0.0
1995-10-25,605.2457363492838,0.0
1995-10-26,614.4902804580196,0.0
1995-10-27,621.9186880936361,0.0
1995-10-30,623.0006069155775,0.0
1995-10-31,634.1418881398736,0.0
1995-11-01,633.6411940165984,0.0
1995-11-02,640.3138113487021,0.0
1995-11-03,622.4626369478082,0.0
1995-11-06,635.497670836629,0.0
1995-11-07,640.071637126332,0.0
1995-11-08,636.1471939805859,0.0
1995-11-09,643.7335602492814,0.0
1995-11-10,646.9730228786095,0.0
1995-11-13,638.2130264409712,0.0
1995-11-14,640.3127588007457,0.0
1995-11-15,643.9190930341671,0.0
1995-11-16,637.9997935981495,0.0
1995-11-17,628.9087286198787,0.0
1995-11-20,624.1437974830484,0.0
1995-11-21,619.3475180613394,0.0
1995-11-22,608.8693442510196,0.0
1995-11-24,599.2910000572099,0.0
1995-11-27,591.9511702172997,0.0
1995-11-28,593.8721363849539,0.0
1995-11-29,574.8300925175877,0.0
1995-11-30,581.7025191215937,0.0
1995-12-01,571.0696301503315,0.0
1995-12-04,571.0901990796856,0.0
1995-12-05,561.0577479540948,0.0
1995-12-06,557.9090489907784,0.0
1995-12-07,559.2702354271958,0.0
1995-12-08,562.4113432506989,0.0
1995-12-11,561.0997000983893,0.0
1995-12-12,563.1702041963537,0.0
1995-12-13,558.7855529477517,0.0
1995-12-14,554.1106344176256,0.0
1995-12-15,563.4375868325596,0.0
1995-12-18,562.953792803536,0.0
1995-12-19,558.0953188829078,0.0
1995-12-20,558.7944647127557,0.0
1995-12-21,567.8670647139201,0.0
1995-12-22,565.8213521238984,0.0
1995-12-26,566.9583229326971,0.0
1995-12-27,575.9869280790972,0.0
1995-12-28,571.0391530883217,0.0
1995-12-29,570.2287881245696,0.0
1996-01-02,566.5963447778519,0.0
1996-01-03,572.3510338435202,0.0
1996-01-04,573.1450909671453,0.0
1996-01-05,574.710325994234,0.0
1996-01-08,579.8266179375197,0.0
1996-01-09,582.4845939902987,0.0
1996-01-10,580.7496954562023,0.0
1996-01-11,582.627469394366,0.0
1996-01-12,574.5154728674114,0.0
1996-01-15,578.7505746299769,0.0
1996-01-16,584.693988447934,0.0
1996-01-17,588.379138272179,0.0
1996-01-18,593.3987058250405,0.0
1996-01-19,593.8453853146572,0.0
1996-01-22,594.0136104752693,0.0
1996-01-23,596.2538652165259,0.0
1996-01-24,596.798629842857,0.0
1996-01-25,585.2863018312552,0.0
1996-01-26,578.5967164685602,0.0
1996-01-29,582.4541199091648,0.0
1996-01-30,580.8790440256113,0.0
1996-01-31,579.5589717286714,0.0
1996-02-01,577.154181810861,0.0
1996-02-02,591.9018044743401,0.0
1996-02-05,590.0487165305877,0.0
1996-02-06,593.7390640126807,0.0
1996-02-07,594.9869426852674,0.0
1996-02-08,593.2710795318453,0.0
1996-02-09,595.6384520214119,0.0
1996-02-12,595.7772506372555,0.0
1996-02-13,602.1274239330248,0.0
1996-02-14,595.2532184386813,0.0
1996-02-15,608.5230753955454,0.0
1996-02-16,598.291568718327,0.0
1996-02-20,592.9539355455668,0.0
1996-02-21,577.1803407782994,0.0
1996-02-22,569.3210349715429,0.0
1996-02-23,573.9869964305395,0.0
1996-02-26,567.6184987632886,0.0
1996-02-27,573.432331734904,0.0
1996-02-28,565.4224538417463,0.0
1996-02-29,568.7471192982334,0.0
1996-03-01,563.2794502991013,0.0
1996-03-04,570.3467288349785,0.0
1996-03-05,563.9656589796142,0.0
1996-03-06,562.6923320714537,0.0
1996-03-07,562.9242954167033,0.0
1996-03-08,560.4979560035298,0.0
1996-03-11,561.3755148468897,0.0
1996-03-12,546.1485108423562,0.0
1996-03-13,540.2991106094144,0.0
1996-03-14,545.0251453098695,0.0
1996-03-15,548.2470615936332,0.0
1996-03-18,556.5154826989894,0.0
1996-03-19,553.9458108150353,0.0
1996-03-20,561.4041259192852,0.0
1996-03-21,567.1491448722144,0.0
1996-03-22,570.9480773998282,0.0
1996-03-25,558.2213959271288,0.0
1996-03-26,554.3071282590598,0.0
1996-03-27,549.8019504715922,0.0
1996-03-28,547.5536270350792,0.0
1996-03-29,550.5201523268628,0.0
1996-04-01,529.3497658007522,0.0
1996-04-02,528.1067529335854,0.0
1996-04-03,506.96355663368263,0.0
1996-04-04,515.3365949920257,0.0
1996-04-08,482.4080246363411,0.0
1996-04-09,487.85048732224374,0.0
1996-04-10,499.5495948873586,0.0
1996-04-11,478.5393476330678,0.0
1996-04-12,497.32869477361805,0.0
1996-04-15,492.0110626964126,0.0
1996-04-16,498.60329241325877,0.0
1996-04-17,489.68098299598864,0.0
1996-04-18,457.64121861228034,0.0
1996-04-19,445.5501092983861,0.0
1996-04-22,444.58573643006997,0.0
1996-04-23,440.0745580437668,0.0
1996-04-24,402.78922087903874,0.0
1996-04-25,396.79008655435314,0.0
1996-04-26,413.14299043853725,0.0
1996-04-29,402.01765020345687,0.0
1996-04-30,390.09494913223557,0.0
1996-05-01,368.7583316185015,0.0
1996-05-02,359.3112749009781,0.0
1996-05-03,350.84138771927246,0.0
1996-05-06,351.8368243803811,0.0
1996-05-07,342.7218306764108,0.0
1996-05-08,352.7493453003949,0.0
1996-05-09,358.4034965529613,0.0
1996-05-10,357.47846512310736,0.0
1996-05-13,361.06614467262057,0.0
1996-05-14,355.01424771769945,0.0
1996-05-15,363.34449788867454,0.0
1996-05-16,369.21806690004155,0.0
1996-05-17,372.45319286431095,0.0
1996-05-20,373.06508859112404,0.0
1996-05-21,364.2734970905236,0.0
1996-05-22,364.3750828248613,0.0
1996-05-23,363.8070621870882,0.0
1996-05-24,367.86444292881123,0.0
1996-05-28,374.05153605286347,0.0
1996-05-29,369.9939388954118,0.0
1996-05-30,363.96831371057,0.0
1996-05-31,361.9348949132661,0.0
1996-06-03,362.28176204697655,0.0
1996-06-04,355.79531604816754,0.0
1996-06-05,347.14508769617055,0.0
1996-06-06,348.2270303067458,0.0
1996-06-07,344.75024951316163,0.0
1996-06-10,350.14983831154274,0.0
1996-06-11,354.01763814007836,0.0
1996-06-12,348.48125097338317,0.0
1996-06-13,352.57244891133433,0.0
1996-06-14,350.6123375778205,0.0
1996-06-17,355.61478674837235,0.0
1996-06-18,347.9472284071904,0.0
1996-06-19,344.0071288219809,0.0
1996-06-20,340.68548426483136,0.0
1996-06-21,335.92579025518626,0.0
1996-06-24,334.2749148377005,0.0
1996-06-25,334.7001843450104,0.0
1996-06-26,341.0026923462732,0.0
1996-06-27,333.4877902821255,0.0
1996-06-28,335.60750139791327,0.0
1996-07-01,337.5349048593396,0.0
1996-07-02,342.6102110296568,0.0
1996-07-03,337.4776356362612,0.0
1996-07-05,340.27879870160734,0.0
1996-07-08,341.41876793655246,0.0
1996-07-09,340.1812901977854,0.0
1996-07-10,334.6615520571422,0.0
1996-07-11,328.24928664838166,0.0
1996-07-12,326.66195289421626,0.0
1996-07-15,323.31157413949927,0.0
1996-07-16,327.29970049337123,0.0
1996-07-17,326.8597481906801,0.0
1996-07-18,328.68793505131526,0.0
1996-07-19,325.6861845754321,0.0
1996-07-22,325.0831784895051,0.0
1996-07-23,327.32941484853285,0.0
1996-07-24,324.61357785692456,0.0
1996-07-25,324.79666633408095,0.0
1996-07-26,317.1710712666048,0.0
1996-07-29,314.9153724201315,0.0
1996-07-30,314.07859068666943,0.0
1996-07-31,305.3273966602509,0.0
1996-08-01,303.2217229838632,0.0
1996-08-02,307.7213316909258,0.0
1996-08-05,308.77381418200696,0.0
1996-08-06,311.7372638534362,0.0
1996-08-07,314.09283376672016,0.0
1996-08-08,306.92904283088143,0.0
1996-08-09,308.2693516900284,0.0
1996-08-12,308.9893391975598,0.0
1996-08-13,304.8940235735359,0.0
1996-08-14,304.0426006270149,0.0
1996-08-15,311.4178549399921,0.0
1996-08-16,304.22226544872433,0.0
1996-08-19,307.8432706653639,0.0
1996-08-20,306.5269033365096,0.0
1996-08-21,311.41975859861265,0.0
1996-08-22,298.7940163901182,0.0
1996-08-23,295.4677291287042,0.0
1996-08-26,297.45564141145644,0.0
1996-08-27,288.5154068181334,0.0
1996-08-28,288.345529466495,0.0
1996-08-29,289.00873401556726,0.0
1996-08-30,286.29928488579463,0.0
1996-09-03,286.61899069248136,0.0
1996-09-04,294.7138165338534,0.0
1996-09-05,290.0536004319178,0.0
1996-09-06,289.84297840379924,0.0
1996-09-09,287.4654110816418,0.0
1996-09-10,289.81751374640453,0.0
1996-09-11,290.5407218083896,0.0
1996-09-12,290.1664478618583,0.0
1996-09-13,291.2525711619041,0.0
1996-09-16,291.5829103783001,0.0
1996-09-17,289.33189517951143,0.0
1996-09-18,291.3278264610715,0.0
1996-09-19,292.5396990750095,0.0
1996-09-20,294.1234988702324,0.0
1996-09-23,296.6532642512225,0.0
1996-09-24,298.6106245982462,0.0
1996-09-25,296.3330737918873,0.0
1996-09-26,290.58344123614427,0.0
1996-09-27,281.0119535660383,0.0
1996-09-30,280.14000563963754,0.0
1996-10-01,286.0791200548702,0.0
1996-10-02,285.5657836746422,0.0
1996-10-03,287.32905426602866,0.0
1996-10-04,288.07510463803266,0.0
1996-10-07,292.5034238297832,0.0
1996-10-08,290.84496382904445,0.0
1996-10-09,291.94070069839864,0.0
1996-10-10,299.6284933168921,0.0
1996-10-11,301.6219411583993,0.0
1996-10-14,303.4480747003908,0.0
1996-10-15,300.92312013247306,0.0
1996-10-16,299.3296196539327,0.0
1996-10-17,302.3890556659042,0.0
1996-10-18,302.47402216990986,0.0
1996-10-21,300.822793067055,0.0
1996-10-22,301.8054127690205,0.0
1996-10-23,302.9506715777593,0.0
1996-10-24,302.03332233643334,0.0
1996-10-25,299.41048137464793,0.0
1996-10-28,297.95134538313556,0.0
1996-10-29,286.4549835338233,0.0
1996-10-30,291.50721274121463,0.0
1996-10-31,293.12708967587093,0.0
1996-11-01,283.78094361074466,0.0
1996-11-04,284.7768345193217,0.0
1996-11-05,284.78235040908993,0.0
1996-11-06,284.8162152255235,0.0
1996-11-07,284.77043797834057,0.0
1996-11-08,287.64024160248687,0.0
1996-11-11,281.81094588744617,0.0
1996-11-12,279.3672355827827,0.0
1996-11-13,276.9450824686177,0.0
1996-11-14,276.6883087029692,0.0
1996-11-15,274.4817272176491,0.0
1996-11-18,278.2915870925665,0.0
1996-11-19,278.8848417663322,0.0
